========================================
FPGA-FRIENDLY NETWORK (256-128-64)
Enhanced with lagged features & time index
========================================

Input features: 21 (lag=20 + time index)
Samples after lagging: 116381
Data split: Train=81466, Val=17457, Test=17458

Training Configuration:
  Optimizer: SGDM (momentum 0.9)
  Max epochs: 800
  L2 regularization: 0.0001

=== Starting Training ===
Training on single CPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:06 |         1.14 |         1.10 |       0.6468 |       0.6023 |          0.0100 |
|       1 |          30 |       00:00:07 |         0.59 |         0.57 |       0.1716 |       0.1641 |          0.0100 |
|       1 |          60 |       00:00:07 |         0.47 |         0.47 |       0.1088 |       0.1116 |          0.0100 |
|       2 |          90 |       00:00:08 |         0.44 |         0.43 |       0.0963 |       0.0927 |          0.0100 |
|       2 |         120 |       00:00:08 |         0.39 |         0.40 |       0.0777 |       0.0813 |          0.0100 |
|       2 |         150 |       00:00:09 |         0.38 |         0.39 |       0.0728 |       0.0751 |          0.0100 |
|       3 |         180 |       00:00:10 |         0.37 |         0.38 |       0.0691 |       0.0715 |          0.0100 |
|       3 |         210 |       00:00:10 |         0.36 |         0.37 |       0.0662 |       0.0688 |          0.0100 |
|       4 |         240 |       00:00:11 |         0.35 |         0.36 |       0.0629 |       0.0666 |          0.0100 |
|       4 |         270 |       00:00:11 |         0.36 |         0.36 |       0.0632 |       0.0644 |          0.0100 |
|       4 |         300 |       00:00:12 |         0.36 |         0.35 |       0.0663 |       0.0624 |          0.0100 |
|       5 |         330 |       00:00:12 |         0.36 |         0.35 |       0.0633 |       0.0604 |          0.0100 |
|       5 |         360 |       00:00:13 |         0.35 |         0.34 |       0.0628 |       0.0584 |          0.0100 |
|       5 |         390 |       00:00:14 |         0.34 |         0.34 |       0.0593 |       0.0566 |          0.0100 |
|       6 |         420 |       00:00:14 |         0.33 |         0.33 |       0.0549 |       0.0542 |          0.0100 |
|       6 |         450 |       00:00:14 |         0.32 |         0.32 |       0.0514 |       0.0518 |          0.0100 |
|       7 |         480 |       00:00:15 |         0.31 |         0.31 |       0.0479 |       0.0493 |          0.0100 |
|       7 |         510 |       00:00:15 |         0.31 |         0.30 |       0.0472 |       0.0462 |          0.0100 |
|       7 |         540 |       00:00:16 |         0.30 |         0.29 |       0.0457 |       0.0429 |          0.0100 |
|       8 |         570 |       00:00:16 |         0.28 |         0.28 |       0.0388 |       0.0390 |          0.0100 |
